"variable","smd","comparison"
"Age",0.056,"Lev vs Obs"
"Male sex",0.088,"Lev vs Obs"
"Obstruction",0.008,"Lev vs Obs"
"Perforation",0.021,"Lev vs Obs"
"Adherence",0.025,"Lev vs Obs"
"Positive nodes",0.025,"Lev vs Obs"
"Poor differentiation",0.064,"Lev vs Obs"
"Serosal/contiguous extent",0.059,"Lev vs Obs"
"Short surgery interval",0.069,"Lev vs Obs"
"Age",0.02,"Lev+5FU vs Obs"
"Male sex",0.127,"Lev+5FU vs Obs"
"Obstruction",0.057,"Lev+5FU vs Obs"
"Perforation",0.014,"Lev+5FU vs Obs"
"Adherence",0.06,"Lev+5FU vs Obs"
"Positive nodes",0.082,"Lev+5FU vs Obs"
"Poor differentiation",0.033,"Lev+5FU vs Obs"
"Serosal/contiguous extent",0.023,"Lev+5FU vs Obs"
"Short surgery interval",0.088,"Lev+5FU vs Obs"
"Age",0.034,"Lev+5FU vs Lev"
"Male sex",0.216,"Lev+5FU vs Lev"
"Obstruction",0.065,"Lev+5FU vs Lev"
"Perforation",0.035,"Lev+5FU vs Lev"
"Adherence",0.085,"Lev+5FU vs Lev"
"Positive nodes",0.058,"Lev+5FU vs Lev"
"Poor differentiation",0.098,"Lev+5FU vs Lev"
"Serosal/contiguous extent",0.036,"Lev+5FU vs Lev"
"Short surgery interval",0.018,"Lev+5FU vs Lev"
