"Characteristic","Level","Obs","Lev","Lev+5FU"
"Randomized (n)","","315","310","304"
"Age, years, mean (SD)","","59.5 (12.0)","60.1 (11.6)","59.7 (12.3)"
"Age group, n (%)","60-69","100 (31.7)","103 (33.2)","95 (31.2)"
"","< 60","149 (47.3)","134 (43.2)","131 (43.1)"
"",">= 70","66 (21.0)","73 (23.5)","78 (25.7)"
"Sex, n (%)","Female","149 (47.3)","133 (42.9)","163 (53.6)"
"","Male","166 (52.7)","177 (57.1)","141 (46.4)"
"Obstruction, n (%)","No","252 (80.0)","247 (79.7)","250 (82.2)"
"","Yes","63 (20.0)","63 (20.3)","54 (17.8)"
"Perforation, n (%)","No","306 (97.1)","300 (96.8)","296 (97.4)"
"","Yes","9 (2.9)","10 (3.2)","8 (2.6)"
"Adherence to organs, n (%)","No","268 (85.1)","261 (84.2)","265 (87.2)"
"","Yes","47 (14.9)","49 (15.8)","39 (12.8)"
"Positive nodes, median [IQR]","","2 [1-5]","2 [1-5]","2 [1-4]"
"Node category, n (%)","0","1 (0.3)","1 (0.3)","0 (0.0)"
"","1-3","192 (61.0)","198 (63.9)","203 (66.8)"
"",">= 4","119 (37.8)","105 (33.9)","92 (30.3)"
"","Missing","3 (1.0)","6 (1.9)","9 (3.0)"
"Differentiation, n (%)","Moderate","229 (72.7)","219 (70.6)","215 (70.7)"
"","Poor","52 (16.5)","44 (14.2)","54 (17.8)"
"","Well","27 (8.6)","37 (11.9)","29 (9.5)"
"","Missing","7 (2.2)","10 (3.2)","6 (2.0)"
"Local extent, n (%)","Contiguous structures","20 (6.3)","12 (3.9)","11 (3.6)"
"","Muscle","38 (12.1)","36 (11.6)","32 (10.5)"
"","Serosa","249 (79.0)","259 (83.5)","251 (82.6)"
"","Submucosa","8 (2.5)","3 (1.0)","10 (3.3)"
"Surgery-to-registration, n (%)","Long","224 (71.1)","230 (74.2)","228 (75.0)"
"","Short","91 (28.9)","80 (25.8)","76 (25.0)"
"DFS events, n (%)","","190 (60.3)","182 (58.7)","134 (44.1)"
"Deaths, n (%)","","168 (53.3)","161 (51.9)","123 (40.5)"
