"term","HR","lower","upper","se","z","p"
"rxLev",0.921,0.746,1.138,0.108,-0.76,0.447
"rxLev+5FU",0.624,0.497,0.783,0.116,-4.07,0
"sexMale",0.887,0.74,1.063,0.092,-1.299,0.194
"age",1.002,0.994,1.01,0.004,0.452,0.651
"obstructYes",1.229,0.982,1.537,0.114,1.801,0.072
"perforYes",1.099,0.663,1.82,0.257,0.366,0.714
"adhereYes",1.166,0.908,1.496,0.127,1.205,0.228
"nodes",1.081,1.062,1.101,0.009,8.442,0
"differModerate",1.014,0.74,1.388,0.16,0.085,0.932
"differPoor",1.261,0.87,1.827,0.189,1.222,0.222
"extentMuscle",1.3,0.509,3.319,0.478,0.548,0.584
"extentSerosa",2.125,0.874,5.166,0.453,1.663,0.096
"extentContiguous structures",3.416,1.301,8.967,0.492,2.495,0.013
"surgShort",1.293,1.063,1.572,0.1,2.571,0.01
