"term","HR","lower","upper","p"
"rxLev",0.947,0.77,1.165,0.607
"rxLev+5FU",0.621,0.496,0.776,0
"sexFemale",1.093,0.915,1.306,0.325
"age",1.002,0.994,1.009,0.638
"obstructYes",1.249,1.003,1.554,0.047
"perforYes",1.063,0.641,1.761,0.813
"adhereYes",1.174,0.919,1.499,0.198
"nodes",1.081,1.062,1.1,0
"differModerate",1.028,0.752,1.405,0.863
"differPoor",1.332,0.924,1.92,0.125
"extentMuscle",1.123,0.472,2.673,0.793
"extentSerosa",1.878,0.832,4.241,0.129
"extentContiguous structures",3.193,1.316,7.748,0.01
"surgLong",0.756,0.624,0.916,0.004
