"term","HR","lower","upper","p"
"rxLev",0.95,0.763,1.184,0.649
"rxLev+5FU",0.688,0.544,0.871,0.002
"sexFemale",1.014,0.841,1.223,0.885
"age",1.006,0.998,1.014,0.147
"obstructYes",1.295,1.029,1.63,0.028
"perforYes",0.936,0.549,1.594,0.806
"adhereYes",1.204,0.932,1.555,0.156
"nodes",1.093,1.073,1.113,0
"differModerate",0.933,0.672,1.294,0.675
"differPoor",1.288,0.879,1.886,0.193
"extentMuscle",1.443,0.509,4.09,0.489
"extentSerosa",2.451,0.907,6.626,0.077
"extentContiguous structures",3.696,1.279,10.681,0.016
"surgLong",0.766,0.625,0.94,0.011
