"Analysis","Value","Efficacy","Futility"
"IA 1: 50%","Z",2.963,0.078
"N: 336","p (1-sided)",0.002,0.469
"Events: 118","~HR at bound",0.579,0.986
"Month: 4","P(Cross) if HR=1",0.002,0.531
"","P(Cross) if HR=0.65",0.266,0.012
"IA 2: 75%","Z",2.359,1.006
"N: 336","p (1-sided)",0.009,0.157
"Events: 177","~HR at bound",0.701,0.859
"Month: 6","P(Cross) if HR=1",0.01,0.849
"","P(Cross) if HR=0.65",0.696,0.036
"Final","Z",2.014,2.014
"N: 336","p (1-sided)",0.022,0.022
"Events: 235","~HR at bound",0.769,0.769
"Month: 8","P(Cross) if HR=1",0.024,0.976
"","P(Cross) if HR=0.65",0.9,0.1
