"subgroup","level","HR","lower","upper","p","n","events","p_interaction"
"All patients","",0.621,0.498,0.775,0,619,324,
"Age","< 60 years",0.731,0.526,1.015,0.062,280,147,0.413
"Age",">= 60 years",0.541,0.401,0.73,0,339,177,
"Sex","Male",0.456,0.327,0.638,0,307,156,0.043
"Sex","Female",0.79,0.584,1.069,0.126,312,168,
">= 4 positive nodes","No",0.587,0.444,0.777,0,453,204,0.871
">= 4 positive nodes","Yes",0.686,0.477,0.986,0.042,166,120,
"Obstruction","No",0.625,0.488,0.8,0,502,259,0.806
"Obstruction","Yes",0.642,0.389,1.059,0.083,117,65,
"Local extent","Submucosa/muscle",0.812,0.391,1.689,0.578,88,29,0.433
"Local extent","Serosa/contiguous",0.597,0.473,0.754,0,531,295,
"Differentiation","Well/moderate",0.594,0.463,0.763,0,500,255,0.727
"Differentiation","Poor",0.759,0.466,1.238,0.27,106,65,
"Surgery-to-registration","Short",0.716,0.48,1.069,0.103,167,101,0.198
"Surgery-to-registration","Long",0.596,0.457,0.778,0,452,223,
